3.2,176155,1433,50100115,0
3.2,11712649,1433,50100109,0
3.5,16007391,1433,50100089,0
3.9,11667893,1433,50100087,0
4.5,11667893,1433,50100087,0
5.2,16007391,1433,50100089,0
5.3,156422,1433,50100090,0
5.3,24202429,1433,50100111,0
6,156422,1433,50100090,0
6.4,11712649,1433,50100109,0
6.5,11485656,1433,50100086,0
6.8,156422,1433,50100090,0
6.8,5329102,1433,50100120,0
0,1328,1731,50105854,0
0,2202,688876,103225088,0
0,2396,69910,103165753,0
0,2396,69911,103165753,0
0,2396,69912,103165753,0
0,2399,69910,103165746,0
0,2399,69911,103165746,0
0,2399,69912,103165746,0
0,3541,493040,103905082,0
0,3547,493040,103905390,0
0,3820,493040,103905487,0
0,5164,493040,103905253,0
0,5166,493040,103905255,0
0,5291,256664,103245522,0
0,5711,493040,103904954,0
0.000003,5328245,69415,103257428,1
0.000006,2857,66625,103214940,1
0.000006,2857,69421,103214940,1
0.000006,2857,325546,103214940,1
0.000006,4705,325539,103200288,1
0.000006,5328261,69425,103238230,1
0.000006,5328261,69434,103238230,1
0.000006,5328261,69560,103238230,1
0.000006026,2857,320960,103214940,1
0.000008,2428,66596,103257455,1
0.000008,2428,69415,103257455,1
0.000008,4707,66596,103238181,1
0.000008,4707,69425,103238181,1
0.000008,4707,69434,103238181,1
0.000008,4707,69718,103238181,1
0.00001,5328234,69415,103433753,1
0.000025,2427,69415,103432958,1
0.000025,4705,66596,103200288,1
0.000025,4705,66625,103200288,1
0.000025,4705,69402,103200288,1
0.000025,4705,69421,103200288,1
0.000025,4705,394727,103200288,1
0.000025,4705,1301348,103200288,1
0.000029,4705,66446,103200288,1
0.000029,4705,66602,103200288,1
0.000029,4705,69425,103200288,1
0.000029,4705,1244850,103200288,1
0.00003,52940774,510254,123083657,1
0.000037,10362209,241077,103460666,1
0.000037,122189248,1244850,318388236,1
0.00007,9952784,241077,103460717,1
0.000072,5328231,69421,103304736,1
0.00007244,1474852,320960,103304887,1
0.00008,4708,381969,103202674,1
0.00008,9915743,295762,103441767,1
0.00008913,5328253,345876,103238923,1
0.00009,5328253,66623,103238923,1
0.000091,5328253,69425,103238923,1
0.0001,4709,473321,103455939,1
0.0001,123631,748091,103244983,1
0.0001,123631,761603,103244983,1
0.0001,123631,1129567,103244983,1
0.0001,156414,625007,103202250,1
0.0001,176870,473322,103177459,1
0.0001,176870,1170824,103177459,1
0.0001,176870,1170826,103177459,1
0.0001,176870,1274046,103177459,1
0.0001,176870,1274048,103177459,1
0.0001,176870,1286793,103177459,1
0.0001,5328045,66603,103304089,1
0.0001,5328045,66623,103304089,1
0.0001,5328045,69421,103304089,1
0.0001,10184653,624998,103768626,1
0.0001,16663769,69425,103239059,1
0.00011,156414,1289541,103202250,1
0.00011,10184653,624997,103768626,1
0.00011,21080010,241077,103460812,1
0.00012,2426,66602,103304190,1
0.00012,2426,69415,103304190,1
0.00012,2426,69421,103304190,1
0.00012,2426,325546,103304190,1
0.00012,10184653,625001,103768626,1
0.00012,10184653,625002,103768626,1
0.00012,10320940,241077,103460534,1
0.00012,132495274,1330924,374292238,1
0.0001202,2426,320960,103304190,1
0.0001288,5328252,345876,103239300,1
0.00013,156414,1433,50100094,1
0.00013,156414,435157,103202250,1
0.00013,156414,624998,103202250,1
0.00013,5328252,66623,103239300,1
0.00013,5328252,69425,103239300,1
0.00013,5328258,69425,103238460,1
0.00013,5328258,69434,103238460,1
0.00013,5328258,69560,103238460,1
0.00013,71014491,1343427,374284439,1
0.00014,10184653,625000,103768626,1
0.00014,10184653,625006,103768626,1
0.00014,74766099,1337176,374265273,1
0.0001585,44564527,345876,103593034,1
0.00016,10528818,67284,103202102,1
0.00016,71513157,1171419,312371399,1
0.00016,78318941,1270394,318396221,1
0.0001698,44564031,345876,103592049,1
0.00017,156414,1433,50100094,1
0.00017,156414,435652,103202250,1
0.00017,156414,625000,103202250,1
0.00017,5328050,66603,103304616,1
0.00017,5328050,69415,103304616,1
0.00017,5328050,69421,103304616,1
0.00017,5328221,69421,103304640,1
0.00017,5329070,69562,103376233,1
0.00017,45141349,457029,103722290,1
0.0001738,5328050,320960,103304616,1
0.0001738,5328221,320960,103304640,1
